,OBJECTID,NAME,NAME_AR,STOP_NUMBER,longitude,latitude
2163,279914,Local Road / Dates Factory,طريق محلي / مصنع التمور,42090,55.425776111000005,24.208398889000023
2164,279915,St 40 / Emirates Transport,شارع 40 / مواصلات الإمارات,26594,54.69169611199999,24.560101110999994
2165,279916,E45-Al Ghabat Camp,E45 / معسكر الغابات,60420,53.786191110999994,23.228578055000014
2166,279917,Khaled Ibn Sultan St 147 / Sudan Social Club,شارع خالد بن سلطان 147 / النادي السوداني,93434,55.72422611100001,24.204991944000028
2167,279918,St 27 / St 66,شارع 27 / شارع 66,24228,54.70539500000001,24.609701943999994
2168,279919,Stop 10051,موقف 10051,10051,54.54590611100002,24.304749999000023
2169,279920,Shakhboot Ibn Sultan St 131 / Kuwaitat Plantation,شارع شخبوط بن سلطان  131  / مشتل الكويتات,90018,55.780761944000005,24.229193887999998
2170,279921,Hamdan St / Ministry of Economy,شارع حمدان /  وزارة الاقتصاد,517,54.36583805599997,24.49141610999999
2171,279922,Corniche St / Corniche  Park,شارع الكورنيش / حديقة الكورنيش,142,54.372243056,24.507931110000015
2172,279923,Bainuna St / ADNOC HQ,شارع بينونة  (34) /  المقر الرئيسي لشركة أدنوك,3407,54.325078889,24.46028499900001
2173,279924,Channel Street / Police Station,شارع القناة / مركز الشرطة,16010,54.535169999999994,24.427144999000006
2174,279925,Zayed Al Awwal St 130 / Community Policing,شارع زايد الأول 130 / الشرطة المجتمعية,93118,55.730776945,24.19061111100001
2175,279926,St 57 / Al Miqdad Al Kindy Mosque,شارع 57 / مسجد المقداد الكندي,40174,54.691478888999995,24.332068056000026
2176,279927,Khalifa Ibn Zayed St 135 / Al Muwaiji souq,شارع خليفة بن زايد 135 / سوق المويجعي,90224,55.73385611100002,24.224666110999976
2177,279928,Middle East  & Asia Learning Center,مركز الشرق الاوسط للتعليم,30720,54.68122805600001,24.371458055000005
2178,279929,St 27 / St 62,شارع 27 / شارع 62,24226,54.703755,24.606011943999988
2179,279930,Hazaa Bin Zayed St / ADNOC,شارع هزاع بن زايد / ادنوك,1111,54.362523055999986,24.463183888000003
2180,279931,St 15 / St 22,شارع 15 / شارع 22,24118,54.69139611100002,24.593799998999998
2181,279932,Al Falah St / Mubarak Bin Mohammed St,شارع الفلاح / شارع مبارك بن محمد,911,54.35633611200001,24.468731944000012
2182,279933,E45-Public  Garden,E45-الحديقة العامة,60502,53.71634888900002,23.624388888
2183,279934,88th St  / Market,شارع 88 / سوق,94342,55.81218999999999,24.15324305500002
2184,279935,Al Mirfa School,مدرسة المرفأ,77149,53.47131000000002,24.09176805499999
2185,279936,Souq,سوق,25310,54.67349805600003,24.636603055000023
2186,279937,Hamdan Ibn Mohammed St 127 / Al Ain University of Science and Technology,شارع حمدان بن محمد 127 / جامعة العين للعلوم والتكنولوجيا,91609,55.74086,24.241511944000024
2187,279938,St 15 / Roundabout,ش 15 / دوار,32074,55.74344000000002,24.589544999999987
2188,279939,St 6/ Corniche St,شارع 6 / شارع الكورنيش,3432,54.333545000000015,24.467228888000022
2189,279940,Service Rd  / Sweihan Etisalat,شارع خدمات / سويحان- إتصالات,38037,55.33561194399999,24.469678054999974
2190,279941,St 6 / Masjid Abu Al Darda,شارع 6 / مسجد أبو الدرداء,26645,54.69249805599998,24.569203888000004
2191,279942,Shakhboot Ibn Sultan St 131 / Airport Roundabout West,شارع شخبوط بن سلطان  131  / دوار المطار غرب,92617,55.673881111000014,24.21390611099997
2192,279943,Local Road / Ajban Road Roundabout,طريق محلي / دوار طريق عجبان,42081,55.453896111000006,24.214563888999976
2193,279944,Nhayyan Al Awwal St 153 / Zakher Park,شارع نهيان الأول 153 / حديقة زاخر,95414,55.69083805499997,24.14490888900002
2194,279945,Zayed 1st St / Al Muna School,شارع زايد الأول /  مدرسة  المنى,731,54.36311999999998,24.485728888999972
2195,279946,Hamdan Ibn Mohammed St 127 / Al Ain Club,شارع حمدان بن محمد 127 / نادي العين,92213,55.71514500000001,24.242743888999996
2196,279947,St 55 / St 20,شارع 55 / شارع 20,12120,54.552823054999976,24.33186888900002
2197,279948,Ghayathi School,مدرسة غياثي,86164,52.81749194499997,23.828671943000018
2198,279949,Yas Leisure Drive / Police Station,درب ياس الترفيهي / مركز الشرطة,19514,54.604746944,24.493236110999987
2199,279950,3rd St  / Disease Prevention and Screening Centre,الشارع 3 / الطب الوقائي,91913,55.730381111999975,24.234271944
2200,279951,Harmiya  Rd. Labour Accomodn.,طريق الهرمية -سكن العمال,77131,53.407708055,24.105816944000026
2201,279952,Al Masood Automobile,مدينة زايد المسعود,66251,53.733133054999996,23.66452388800002
2202,279953,St 12 / St 15,شارع 12 / شارع 15,16586,54.550430000000006,24.410008887999993
2203,279954,St 14 / Salama Bint Butti School,شارع 14 / مدرسة سلامة بنت بطي,40453,54.63561305600001,24.299771943999986
2204,279955,Khalifa Ibn Sultan St 147 / Khalifa Bin Zayed Stadium,شارع خالد بن سلطان 147 / ستاد خليفة بن زايد,90812,55.763660000000016,24.205346110999983
2205,279956,E13-Bu Hasa R/A,E13-دوار بو حصا,60620,53.44933111099999,23.666468888999987
2206,279957,Yas Leisure Drive / Marina Circuit East,درب ياس الترفيهي / حلبة مرسى ياس شرق,19504,54.61647305600002,24.483496944000024
