,OBJECTID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,ONWANIDISTNAMEAR,ONWANIDISTNAMEENG,longitude,latitude
48,49,Attractions,Recreation & Tourism,Public Parks,حديقة زاخر,Zahker Park,55.68648961,24.1439787,العين,Al Ain,زاخر,ZAKHIR,غافات النيار,GAFAT AL NAYYAR,زاخِر,Zakhir,55.686489610000024,24.143978697000023
49,50,Attractions,Recreation & Tourism,Public Parks,حديقة المريجب,Al Muraijib Park,55.73838026,24.26641489,العين,Al Ain,الجيمي,AL JIMI,المريجب,AL MRAIJEB,الجيمي,Al Jimi,55.73838026200002,24.266414887999986
50,51,Attractions,Recreation & Tourism,Public Parks,حديقة الطوية,Towaiya Park,55.69768021,24.24396918,العين,Al Ain,الطوية,AL TOWAYYA,الرقايب,AL RAGAYEB,الطِّوَيَّة,Al Tiwayyah,55.69768021200002,24.243969177999986
51,52,Attractions,Recreation & Tourism,Public Parks,حديقة السليمات ,Al Salamat Family Park,55.57981354,24.20574537,العين,Al Ain,السلامات,AL SALAMAT,السلامات 1,AL SALAMAT 1,السَّلاَمَات,Al Salamat,55.579813543,24.20574536700002
52,53,Attractions,Recreation & Tourism,Public Parks,حديقة الوادي,Al Wadi Park,55.72526421,24.20333556,العين,Al Ain,المويجعي,AL MUWAIJI,الرويكة,AL RUWAIKAH,المُويجْعِي,Al Muwaij'i,55.725264213,24.203335563999985
53,54,Attractions,Recreation & Tourism,Public Parks,حديقة الفوعة,Al Foaa  Park,55.80146704,24.3358975,العين,Al Ain,الفوعة,AL FOAH,مصيبيخ,MSAIBEEKH,الفُوعَة,Al Fou'ah,55.80146703899999,24.33589749800001
54,55,Attractions,Recreation & Tourism,Public Parks,حديقة البصرة,Al Basra Park,55.72060365,24.2203799,العين,Al Ain,المويجعي,AL MUWAIJI,مجلود,MAJLOOD,المُويجْعِي,Al Muwaij'i,55.72060364999999,24.220379901
55,56,Attractions,Recreation & Tourism,Public Parks,حديقة ابو سمرة,Abu Samrah Family Park,55.39081928,24.2053079,العين,Al Ain,أبو سمرة,ABU SAMRA,بو سمرة 1,BU SAMRAH 1,أبو سمْرة,Abu Samrah,55.390819281999995,24.205307903000005
56,57,Attractions,Recreation & Tourism,Public Parks,حديقة ناهل,Nahel Park,55.50992269,24.51472678,العين,Al Ain,مدينة ناهل,NAHEL TOWN,مدينة ناهل,MADINAT NAHIL,نَاهِل,Nahil,55.50992268900001,24.51472677800001
57,58,Attractions,Recreation & Tourism,Public Parks,حديقة المضيف,Al Mudeef Park,55.76729115,24.22929795,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,ند الرصاص,NAD AL RUSAS,وسط المدينة,Central District,55.767291149000016,24.229297954000003
58,59,Attractions,Recreation & Tourism,Public Parks,,Al Yahar South Park,55.53574852,24.21243135,العين,Al Ain,اليحر,AL YAHAR,هزع البوش - غرب,HAZZA AL BOUSH - WEST,اليَحَر,Al Yahar,55.535748523999985,24.212431346000017
59,60,Attractions,Recreation & Tourism,Public Parks,حديقة الوقن,Al Wagan Park,55.56376091,23.64024692,العين,Al Ain,الوقن,AL WAGAN,رملة الديما,RAMLAT ADDIMAH,الوِقن,Al Wiqan,55.563760909999985,23.640246923000007
60,61,Attractions,Recreation & Tourism,Public Parks,حديقة فلج هزاع,Falaj Haza Park,55.73520731,24.1962846,العين,Al Ain,فلج هزاع,FALAJ HAZZA,المنيزلة,AL MNAIZLAH,فَلَج هَزَّاع,Falaj Hazza',55.73520730500002,24.196284597999977
61,62,Attractions,Recreation & Tourism,Public Parks,حديقة المقام,Al Maqam Park,55.63034526,24.19008837,العين,Al Ain,المقام,AL MAQAM,شعبية المقام,SHABIYAT AL MAQAM,المَقَام,Al Maqam,55.63034526199999,24.190088370000012
62,63,Attractions,Recreation & Tourism,Public Parks,حديقة البلدية,Al Ain Municipality Park,55.74735214,24.23119171,العين,Al Ain,المعترض,AL MUTAREDH,رملة أعواد شاهين,RAMLAT AAWAD SHAHEEN,المُعْتَرِض,Al Mu'tarid,55.747352139999975,24.231191706999994
63,64,Attractions,Recreation & Tourism,Public Parks,,Al Aini Park,55.78380669,24.21116857,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,النيادات,AL NYADAT,وسط المدينة,Central District,55.783806690000006,24.211168574
64,65,Attractions,Recreation & Tourism,Public Parks,,Al Yahar North Park,55.53623196,24.21927391,العين,Al Ain,اليحر,AL YAHAR,الواحة العامرة,AL WAHA AL AMIRAH,اليَحَر,Al Yahar,55.536231961,24.21927390799999
65,66,Attractions,Recreation & Tourism,Public Parks,المنتزة الشمالي,Yas Gateway Park North,54.62584428,24.49256655,أبوظبي,Abu Dhabi,جزيرة ياس,YAS ISLAND,ياس شمال 07,YN_07,جزيرة ياس,Jazeerat Yas,54.625844282,24.492566547000024
66,67,Attractions,Recreation & Tourism,Public Parks,حديقة عامة,Public Garden,54.64501206,24.5726759,أبوظبي,Abu Dhabi,الباهية,AL BAHYA,الباهية الجديدة,AL BAHYA NEW,البَاهية,Al Bahyah,54.64501206099999,24.572675901000025
67,68,Attractions,Recreation & Tourism,Public Parks,حديقة المدينة الرياضية,Garden City Sports,54.45916189,24.41913908,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 67,W67,الروضة,Al Rawdah,54.45916188699999,24.419139081000026
68,69,Attractions,Recreation & Tourism,Public Parks,حديقة مشرف للأطفال,Mushrif Kids Park,54.39271122,24.44454149,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 46_1,W46_01,المُشرِف,Al Mushrif,54.39271121799999,24.44454148699998
69,70,Attractions,Recreation & Tourism,Public Parks,إستراحة الخليج,Gulf Garden,54.46015187,24.41663508,أبوظبي,Abu Dhabi,جزيرة أبوظبي,ABU DHABI ISLAND,غرب 57,W57,الروضة,Al Rawdah,54.460151869000015,24.416635075999977
70,71,Attractions,Recreation & Tourism,Public Parks,حديقة البلدية,Al Ain Municipality Park,55.74305358,24.23141377,العين,Al Ain,المعترض,AL MUTAREDH,رملة أعواد شاهين,RAMLAT AAWAD SHAHEEN,المُعْتَرِض,Al Mu'tarid,55.74305357600002,24.231413769000028
71,72,Attractions,Recreation & Tourism,Public Parks,حديقة المطار,Al Ain Airport Park,55.61816991,24.26380424,العين,Al Ain,مطار العين الدولي ,AL AIN INTERNATIONAL AIRPORT, 2 مطار العين الدولي ,AL AIN INTERNATIONAL AIRPORT 2,مطار العين الدولي,Al Ain International Airport,55.61816990599999,24.263804245000017
